Citation,Year,PR_ID,ES_ID,CHT_ID,Ecosystem,Region,Country,Continent,Latitude_N_S,Longitude_E_W,Duration_months._FS,Invader,Growth_form,Plot_size_m2,Status_parameter1,GF_Parameter,Revegetation.method,Method_GF_Fun,Method_GF_Gen,revegetation_type,Reference,Invader_removal_strategy,Category,Parameter,Parameter_Category,Source,nT,mT,sdT,nC,mC,sdC
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,1,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.42,0.21,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,2,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.65,0.36,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,3,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.3,0.24,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,4,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.009,0.3,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,5,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.019,0.054,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,6,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.046,0.48,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,7,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,13.07,13.59,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,8,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,11.72,12.54,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,9,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,4.31,6.27,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,10,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,15,Pennisetum ciliare,Grass,12,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (P. ciliare),Density,Figure 4,9,0.074,0.108,9,0.037,0.087
